
# --------------------------------------------------------------------------------------------------------
# Contents:
# Dutch soil profiles, BOFEK clustering and hydraulic properties.
#
# Source:
# Soil map of the Netherlands: https://service.pdok.nl/bzk/bro-bodemkaart/atom/bro-bodemkaart.xml
# BOFEK clustering, Staringreeks: https://www.wur.nl/nl/show/bodemfysische-eenhedenkaart-bofek2020.htm
#
# Date:
# 2025-04-17
# --------------------------------------------------------------------------------------------------------

soil_id,soil_unit,soil_name,soil_classification,soil_landuse,bofek_cluster,bofek_dominant,bofek_name,bofek_area,layer_number,layer_faohorizon,layer_ztop,layer_zbot,layer_staringclass,layer_staringclassname,layer_staringdescription,layer_staringlabel,layer_orgmat,layer_pclay,layer_psilt,layer_bdens,layer_ores,layer_osat,layer_alfa,layer_npar,layer_lexp,layer_ksatfit
90110186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,grasland,3014,0,Zwak lemige zandgronden II,8180.243777,1,Ap,0.0,0.2,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,2.0,3,7,1.508,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
90110186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,grasland,3014,0,Zwak lemige zandgronden II,8180.243777,2,Cu,0.2,1.2,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,6,1.671,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
90210186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,16018.79891,1,Ah,0.0,0.08,101,B01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,3.5,2,6,1.451,0.02,0.42749391,0.02165898,1.73473668,0.98087016,31.22501566
90210186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,16018.79891,2,Cu1,0.08,0.4,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,4,1.674,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
90210186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,16018.79891,3,Cu2,0.4,1.2,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,4,1.674,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
10186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,5039.488416,1,Ah,0.0,0.08,101,B01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,3.5,2,6,1.431,0.02,0.42749391,0.02165898,1.73473668,0.98087016,31.22501566
10186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,5039.488416,2,Cu1,0.08,0.4,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,4,1.648,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
10186,Zn21,Vlakvaaggronden; leemarm en zwak lemig fijn zand,Kalkloze zandgronden,bos,3019,0,Zwak lemige zandgronden IV,5039.488416,3,Cu2,0.4,1.2,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.2,2,2,1.655,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
10182,Zn21g,Vlakvaaggronden; leemarm en zwak lemig fijn zand,,bos,3019,0,Zwak lemige zandgronden IV,625.2890834,1,Ah,0.0,0.08,101,B01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,3.5,2,6,1.451,0.02,0.42749391,0.02165898,1.73473668,0.98087016,31.22501566
10182,Zn21g,Vlakvaaggronden; leemarm en zwak lemig fijn zand,,bos,3019,0,Zwak lemige zandgronden IV,625.2890834,2,Cu1,0.08,0.4,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.3,2,4,1.674,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
