CLUSTER_BOFEK,CLUSTER_DOMINANT,SOILPROFILE_INDEX,SOILPROFILE_CODE,AREA,SOIL_GROUP,LAYER,LAYER_ZBOTTOM,LAYER_STARINGCLASS,STARING_NAME,ORES,OSAT,ALFA,NPAR,KSATFIT,LEXP
4021,0,15401,Mn86Cl,1105.97474,4,3,70,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15401,Mn86Cl,1105.97474,4,4,110,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15401,Mn86Cl,1105.97474,4,5,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15470,gMn88C,4036.893263,4,1,10,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,0,15470,gMn88C,4036.893263,4,2,20,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,0,15470,gMn88C,4036.893263,4,3,70,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15470,gMn88C,4036.893263,4,4,85,31,O13,0.01,0.573268,0.02785405,1.07995207,9.68929074,-6.09131057
4021,0,15470,gMn88C,4036.893263,4,5,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15550,kMn48C,7549.608544,4,1,8,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,0,15550,kMn48C,7549.608544,4,2,20,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,0,15550,kMn48C,7549.608544,4,3,40,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15550,kMn48C,7549.608544,4,4,90,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,0,15550,kMn48C,7549.608544,4,5,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,1,15540,kMn43C,8957.419846,4,1,8,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,1,15540,kMn43C,8957.419846,4,2,20,11,B11,0.01,0.59128611,0.02162021,1.10669523,6.30532049,-5.54921646
4021,1,15540,kMn43C,8957.419846,4,3,40,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,1,15540,kMn43C,8957.419846,4,4,100,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4021,1,15540,kMn43C,8957.419846,4,5,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
4022,0,13010,MOo02,4300.179845,4,1,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
4022,0,13010,MOo02,4300.179845,4,2,75,26,O08,0.0,0.45375142,0.01132406,1.34596812,8.64086044,-0.90382318
4022,0,13010,MOo02,4300.179845,4,3,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
4022,0,15241,Mn15Ap,1790.153245,4,1,15,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4022,0,15241,Mn15Ap,1790.153245,4,2,25,8,B08,0.01,0.43265125,0.01047815,1.27799235,3.00274059,-1.91928931
4022,0,15241,Mn15Ap,1790.153245,4,3,50,27,O09,0.0,0.45824566,0.00971504,1.37578384,3.76662698,-1.01308296
