* Project:       zegveld
* File content:  specified output data of SWAP
* File name:     .\result_output.csv
* Model version: Swap 4.2.0
* Generated at:  2024-08-01 16:00:34
* (d),(cm),(cm),(kg/ha),(kg/ha),(kg/ha),(kg/ha)
DATETIME,TREDDRY,TREDWET,PGRASSDM,GRASSDM,PMOWDM,MOWDM
1993-04-12,0.,.01495,1640.52041,1335.87379,0.,0.
1993-04-13,0.,.00117,1705.68246,1379.96160,0.,0.
1993-04-14,0.,0.,1788.66833,1437.52385,0.,0.
1993-04-15,0.,0.,1891.06428,1508.94840,0.,0.
1993-04-16,0.,0.,2015.36778,1596.54464,0.,0.
1993-04-17,0.,2.68268E-07,2045.82153,1618.72995,0.,0.
1993-04-18,0.,.03061,2106.85781,1618.72995,0.,0.
1993-04-19,0.,.00645,2141.39504,1618.72995,0.,0.
1993-04-20,0.,.05941,2305.88433,1687.67974,0.,0.
1993-04-21,0.,.00125,2456.96613,1783.35961,0.,0.
1993-04-22,0.,.00328,2557.63144,1846.27452,0.,0.
1993-04-23,0.,0.,2735.61757,1963.41411,0.,0.
1993-04-24,0.,0.,2915.86118,2084.76973,0.,0.
1993-04-25,0.,0.,3106.41271,2215.51562,0.,0.
1993-04-26,0.,0.,3301.93787,2352.57869,0.,0.
1993-04-27,0.,0.,3505.41639,2498.87672,0.,0.
1993-04-28,0.,0.,3710.52645,2649.52003,0.,0.
1993-04-29,0.,0.,3915.16897,2803.24762,0.,0.
1993-04-30,0.,0.,4121.83254,2961.55335,0.,0.
1993-05-01,0.,0.,4340.04643,3130.52106,0.,0.
1993-05-02,0.,0.,4386.01498,3169.71595,0.,0.
1993-05-03,0.,0.,4562.01285,3307.68838,0.,0.
1993-05-04,0.,0.,4788.19507,3485.82690,0.,0.
1993-05-05,0.,0.,700.00000,3668.64983,4088.19507,0.
1993-05-06,0.,0.,700.00000,3861.45309,4088.19507,0.
1993-05-07,0.,0.,700.00000,3950.38103,4088.19507,0.
1993-05-08,0.,0.,700.00000,4130.91944,4088.19507,0.
1993-05-09,.00094,.00468,776.44186,4317.65834,4088.19507,0.
1993-05-10,0.,0.,863.27352,4515.53341,4088.19507,0.
1993-05-11,0.,0.,959.85207,700.00000,4088.19507,3815.53341
1993-05-12,0.,0.,1064.97825,700.00000,4088.19507,3815.53341
1993-05-13,0.,0.,1107.12186,700.00000,4088.19507,3815.53341
1993-05-14,0.,0.,1160.59371,732.72088,4088.19507,3815.53341
